"topnav_shop_button","Shop"
"popup_charms_shop_box_message_CandyJokerNinePack","Adds Lucky Candy to the candy mix, which will transform into useful candy when removed!"
"booster_name_CandyAntiPepparNinePack","Bomb Cooler"
"popup_charms_shop_box_message_CandyHardCurrencyX39","Contains gold so you can purchase items in game."
"tutorial_idBankIntroduction","Click here to enter the Candy Bank!"
"cutscene_chocolate_barn_introduction_little_girl","Oh, what a nice farm!"
"midroll_before_ad_title","A short break!"
"powerup_tipster_title","Powerup tip!"
"popup_charms_shop_box_message_CandyExtraTimeEighteenPack","Start the game with {0} extra seconds play time!"
"booster_info_bubble_button_create","Create"
"popup_game_over_fail_reason_no_more_moves","You had no more
possible switches!"
"popup_charms_shop_box_message_CandyHardCurrencyX40","Contains gold so you can purchase items in game."
"popup_champion_new_message","Of all your friends, you have gathered most stars in {0}!"
"popup_charms_shop_box_message_CandyHardCurrencyX29","Contains gold so you can purchase items in game."
"booster_name_CandySwedishFishNinePack","Jelly Fish"
"popup_charms_shop_daily_offer_none_message","Please check again tomorrow."
"popup_pwf_help_all_friends","Help all friends"
"popup_mission_content_ccs_4","Follow these 3 simple steps:"
"cutscene_sugaryshire_introduction_ram_sticky","I've been caught up in a sticky situation!"
"cutscene_rainbowrunway_introduction_minty_bother","Oh bother, I ate too much *burp*! "
"popup_mission_content_ccs_7","3. Connect with Facebook. Done!"
"popup_mission_content_ccs_6","2. Download the game."
"cutscene_witch_introduction_need_ingredient","My potion needs some extra pop!"
"facebook_xmas_card_share_description","Click on the image and celebrate with me!"
"popup_mission_content_ccs_3","1 Color Bomb"
"cutscene_butterscotchboulders_introduction_girl_i_know","I know what to do! But it will take a while!"
"cutscene_robot_introduction_bzzt","Bzzt... zprrkl..."
"popup_charms_shop_box_message_CandyHardCurrencyX30","Contains gold so you can purchase items in game."
"popup_mission_content_ccs_2","1 Lollipop Hammer "
"game_swipe_end_win_header","Wonderful!"
"popup_charms_shop_box_message_CandyJokerEighteenPack","Adds Lucky Candy to the candy mix, which will transform into useful candy when removed!"
"booster_name_CandyBubbleGum","Bubblegum Troll"
"popup_item_unlocked_purchase_amount_CandySugarDusting","3"
"popup_charms_shop_gift_button","Send Charm"
"popup_booster_wheel_share_regular_title","Know a friend that's stuck?"
"tooltip_powerup_button_gift_from_friend","Gift from a friend!"
"popup_recieved_gift_from_myself","You have bought a Gift Pack!"
"popup_friend_passed_button_continue","Continue"
"cutscene_robot_introduction_need_candy","I need more candy!"
"cutscene_polkapalooza_resolution_girl_this","This sugar spray will do the trick!"
"booster_name_CandyHammerNinePack","Lollipop Hammer"
"booster_name_CandyCoconutLiquoriceEightPack","Coconut Wheel"
"cutscene_cherrychateau_introduction_girl_not_before","Not until you say please!"
"champion_tooltip_2","{0}, the champion of {1} has 1 more episode star than you!"
"popup_booster_wheel_description_fallback","Spin the wheel for free, once every day for a chance to win the Jackpot, a big box of sweets, containing 3 of each of the following: Lollipop Hammer, Color Bomb, Jelly Fish, Extra Time, Striped & Wrapped, Coconut Wheel and Lucky Candy. 
 
Happy Spinning!"
"popup_charms_shop_box_message_CandyHardCurrencyX50","Contains gold so you can purchase items in game."
"automatic_shuffle_message","No more possible switches!
Shuffling."
"booster_name_CandyJokerEightPack","Lucky Candy"
"booster_description_CandyYetiShopPack1","6 Color Bombs and 6 Jelly Fish"
"booster_description_CandyYetiShopPack2","3 Bomb Coolers, 3 Extra Time and 3 Lucky Candies"
"booster_description_CandyAntiPeppar","Click to increase the countdown of all visible bombs. It'll keep you alive for longer!"
"cutscene_jellyJungle_resolution_dino_thanks","Thank you! Now I'm safe!"
"popup_charms_single_earn_credits_button","Earn Credits"
"cutscene_munchy_monolith_introduction_girl_poor_pinata","Poor piñata, did you fall down?! "
"popup_item_unlocked_purchase_amount_CandyStripedWrapped","3"
"tutorial_idScoreLimitReached","Sweet, you reached {0} points and your first star! Try to get a higher score for even more stars!"
"tutorial_explainSwitching_direction_up","Swipe this candy up to match 3 of the same!"
"booster_description_CandyDoubleScores","Activate to add x2 Bonus Candies to the candy mix!"
"popup_button_default_continue","Continue"
"popup_buy_lives_title","Get more lives!"
"tutorial_explainSwitching_direction_right","Swipe this candy to the right to match 3 of the same!"
"popup_charms_shop_box_message_CandyFreeSwitchEighteenPack","Switch two candies that don't match!"
"booster_info_splash","Get it while it lasts!"
"cutscene_icecreamcaves_resolution_yuni_achoo","Achooo!"
"tutorial_idStripedWrapped1","Mix two special candies to create a giant one!"
"popup_item_unlocked_purchase_amount_CandyHintBasic","3"
"popup_collaboration_panel_free_message_value","Total value {0}
"
"popup_life_received_message","You got an extra life from {0}!"
"popup_charms_shop_box_message_CandyHardCurrencyX9","Contains gold so you can purchase items in game."
"popup_booster_wheel_can_not_spin_text","Come back tomorrow for a new spin!"
"popup_item_unlocked_purchase_amount_CandyRainbow","3"
"popup_charms_shop_box_message_CandyColorBombEightPack","Start the game with a Color Bomb!"
"popup_charms_shop_box_message_CandyHardCurrencyX3","Contains gold so you can purchase items in game."
"popup_charms_shop_box_message_CandyHardCurrencyX2","Contains gold so you can purchase items in game."
"popup_charms_shop_box_message_CandyHardCurrencyX1","Contains gold so you can purchase items in game."
"champion_title_episode1201","Sleepy Slopes"
"champion_title_episode1202","Funky Factory"
"popup_askfriend_unlock_title","Ask for help"
"champion_title_episode1203","Honey Hot Tub"
"champion_title_episode1204","Aurora Chocorealis"
"champion_title_episode1205","Lollipop Lanterns"
"tooltip_powerup_button_deactivate","Click to deactivate!"
"cutscene_butterscotchboulders_introduction_gumtroll_ha_ha","HA HA HA! "
"cutscene_Alien_introduction_Fix_That","I'll fix that!"
"popup_charms_shop_box_message_CandyStripedWrappedEighteenPack","Start the game with a Wrapped and a Striped Candy!"
"popup_game_start_best_score","Your best"
"popup_unlocked_item_promt","I just unlocked {0}"
"weekday_name_0","Sunday"
"item_category_candyCharm","Candy Charm"
"midroll_get_rid_of_ads_message_part1","Purchase"
"popup_friend_passed_title","Friend passed"
